epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,1.9303706777307645,1.6251300037231133,0.6793478260869565,0.6813186813186813,0.6739130434782609,0.6775956284153005,0.7463965028355388,0.6775956284153005,0
2,0.9265379898536664,1.5530635564507025,0.782608695652174,0.8170731707317073,0.7282608695652174,0.7701149425287356,0.8187618147448015,0.7701149425287356,0
3,0.6473007280965448,1.3359077949097138,0.782608695652174,0.7888888888888889,0.7717391304347826,0.7802197802197802,0.8468218336483931,0.7802197802197802,0
4,0.4178814007328173,0.811526729117917,0.7934782608695652,0.813953488372093,0.7608695652173914,0.7865168539325843,0.887523629489603,0.7865168539325843,0
5,0.4544070448533243,0.7903386188832962,0.842391304347826,0.8247422680412371,0.8695652173913043,0.8465608465608465,0.8975661625708884,0.8465608465608465,0
6,0.3491954202715763,1.1133987223324568,0.7336956521739131,0.7721518987341772,0.6630434782608695,0.7134502923976608,0.8440453686200379,0.8465608465608465,1
7,0.233846523793885,0.7766839860250121,0.8315217391304348,0.8279569892473119,0.8369565217391305,0.8324324324324325,0.8991611531190926,0.8465608465608465,2
8,0.15917948652313899,0.5660379228951491,0.8695652173913043,0.84,0.9130434782608695,0.875,0.9424621928166352,0.875,0
9,0.21685095292804574,0.7800550884769663,0.8206521739130435,0.8105263157894737,0.8369565217391305,0.8235294117647058,0.9083175803402647,0.875,1
10,0.2327276173892732,0.9082948192093603,0.7934782608695652,0.8214285714285714,0.75,0.7840909090909091,0.8889413988657845,0.875,2
11,0.1066517844730777,0.9345435167602061,0.7989130434782609,0.7894736842105263,0.8152173913043478,0.8021390374331551,0.8815571833648392,0.875,3
12,0.09643939444677617,0.8879698036117074,0.8315217391304348,0.8351648351648352,0.8260869565217391,0.8306010928961749,0.892781190926276,0.875,4
13,0.21703245140613964,0.9253990150502195,0.8043478260869565,0.8255813953488372,0.7717391304347826,0.797752808988764,0.8890595463137996,0.875,5
14,0.08869279388618652,0.8947868200585894,0.7934782608695652,0.8214285714285714,0.75,0.7840909090909091,0.888468809073724,0.875,6
15,0.13797172614741302,0.8069118882893868,0.842391304347826,0.7889908256880734,0.9347826086956522,0.8557213930348259,0.9135751417769377,0.875,7
16,0.1467249013242953,0.6703183636190775,0.8586956521739131,0.8173076923076923,0.9239130434782609,0.8673469387755102,0.9253308128544424,0.875,8
17,0.08627952494418004,0.7386506934721104,0.8260869565217391,0.875,0.7608695652173914,0.813953488372093,0.9123936672967864,0.875,9
18,0.11528348499344716,0.8019927772592105,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.9119210775047258,0.875,10
19,0.15589318843006236,0.568146931088489,0.8478260869565217,0.872093023255814,0.8152173913043478,0.8426966292134831,0.938445179584121,0.875,11
20,0.12658934048690404,0.8311868165569056,0.8369565217391305,0.8229166666666666,0.8586956521739131,0.8404255319148937,0.8955576559546314,0.875,12
