epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,0.6806283270592218,0.6160524176514667,0.7336956521739131,0.672,0.9130434782608695,0.7741935483870968,0.7777646502835539,0.7741935483870968,0
2,0.6305014229901544,0.5159835212904474,0.782608695652174,0.75,0.8478260869565217,0.7959183673469388,0.8497164461247637,0.7959183673469388,0
3,0.5428455057707462,0.47949015260066674,0.7445652173913043,0.7319587628865979,0.7717391304347826,0.7513227513227513,0.8390831758034026,0.7959183673469388,1
4,0.5192511822659891,0.42366241210180783,0.8152173913043478,0.7959183673469388,0.8478260869565217,0.8210526315789474,0.8888232514177694,0.8210526315789474,0
5,0.45891047928195733,0.4735075173818547,0.7608695652173914,0.8243243243243243,0.6630434782608695,0.7349397590361446,0.8612948960302458,0.8210526315789474,1
6,0.46436975073519643,0.4591158821207026,0.7880434782608695,0.8354430379746836,0.717391304347826,0.7719298245614035,0.8729914933837429,0.8210526315789474,2
7,0.4186998090942155,0.381385021397601,0.842391304347826,0.8387096774193549,0.8478260869565217,0.8432432432432433,0.9092627599243857,0.8432432432432433,0
8,0.37378033262851473,0.44561924218483595,0.782608695652174,0.8333333333333334,0.7065217391304348,0.7647058823529411,0.8812618147448016,0.8432432432432433,1
9,0.3891501177184202,0.37727665755411854,0.8206521739130435,0.8554216867469879,0.7717391304347826,0.8114285714285714,0.9113894139886578,0.8432432432432433,2
10,0.37701858045881265,0.3794826538018558,0.8260869565217391,0.8191489361702128,0.8369565217391305,0.8279569892473119,0.9104442344045369,0.8432432432432433,3
11,0.34714147765803466,0.41168732208240294,0.8260869565217391,0.875,0.7608695652173914,0.813953488372093,0.8946124763705103,0.8432432432432433,4
12,0.3070897013051333,0.4457077930438454,0.7771739130434783,0.8148148148148148,0.717391304347826,0.7630057803468208,0.8907136105860114,0.8432432432432433,5
13,0.25338020459697636,0.46191395527642704,0.7880434782608695,0.8840579710144928,0.6630434782608695,0.7577639751552795,0.911625708884688,0.8432432432432433,6
14,0.31297007427233586,0.37401667802149186,0.7989130434782609,0.8313253012048193,0.75,0.7885714285714286,0.9155245746691872,0.8432432432432433,7
15,0.25029742973089053,0.40662077466106933,0.8152173913043478,0.881578947368421,0.7282608695652174,0.7976190476190477,0.9184782608695653,0.8432432432432433,8
16,0.16108832287264394,0.47269220016491803,0.8369565217391305,0.8522727272727273,0.8152173913043478,0.8333333333333334,0.9072542533081286,0.8432432432432433,9
17,0.22483839600597724,0.3648472144572145,0.8532608695652174,0.891566265060241,0.8043478260869565,0.8457142857142858,0.93265595463138,0.8457142857142858,0
18,0.17733653814910533,0.3756799020686784,0.8641304347826086,0.935064935064935,0.782608695652174,0.8520710059171598,0.943289224952741,0.8520710059171598,0
19,0.19390015289248838,0.3215247429198707,0.8695652173913043,0.8777777777777778,0.8586956521739131,0.8681318681318682,0.9411625708884688,0.8681318681318682,0
20,0.15457956728801786,0.4676233708413075,0.7554347826086957,0.821917808219178,0.6521739130434783,0.7272727272727273,0.8924858223062382,0.8681318681318682,1
21,0.1948246201909669,0.47176985126798565,0.7934782608695652,0.8214285714285714,0.75,0.7840909090909091,0.900874291115312,0.8681318681318682,2
22,0.1388853218247807,0.52167519621055,0.8043478260869565,0.868421052631579,0.717391304347826,0.7857142857142857,0.9054820415879017,0.8681318681318682,3
23,0.1386573236892358,0.5670620377217268,0.8206521739130435,0.8314606741573034,0.8043478260869565,0.8176795580110497,0.9051275992438563,0.8681318681318682,4
24,0.1358758339119159,0.42443187580426206,0.842391304347826,0.8539325842696629,0.8260869565217391,0.8397790055248618,0.9168241965973535,0.8681318681318682,5
25,0.150376547547569,0.42057953052015207,0.8586956521739131,0.84375,0.8804347826086957,0.8617021276595744,0.9206049149338373,0.8681318681318682,6
26,0.11907558394647152,0.5582865708274767,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.8369565217391305,0.907608695652174,0.8681318681318682,7
27,0.13050668488018685,0.44720893595070305,0.8260869565217391,0.875,0.7608695652173914,0.813953488372093,0.9224952741020793,0.8681318681318682,8
28,0.07959304053488617,0.45473179623924964,0.8206521739130435,0.8831168831168831,0.7391304347826086,0.8047337278106509,0.9310018903591682,0.8681318681318682,9
29,0.07738719488766586,0.5344090748817902,0.7989130434782609,0.8985507246376812,0.6739130434782609,0.7701863354037267,0.926866729678639,0.8681318681318682,10
30,0.09629455104748179,0.49648304471995053,0.8315217391304348,0.8588235294117647,0.7934782608695652,0.8248587570621468,0.9132797731568998,0.8681318681318682,11
31,0.12183479454808428,0.528745891607326,0.842391304347826,0.8315789473684211,0.8586956521739131,0.8449197860962567,0.8992202268431002,0.8681318681318682,12
