epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,1.6494413774747114,1.3154205861298933,0.7554347826086957,0.7901234567901234,0.6956521739130435,0.7398843930635838,0.84132797731569,0.7398843930635838,0
2,0.642250568135181,1.3916061209595723,0.7880434782608695,0.7849462365591398,0.7934782608695652,0.7891891891891892,0.8635396975425331,0.7891891891891892,0
3,0.3078786438397531,1.0551999191875043,0.8152173913043478,0.8020833333333334,0.8369565217391305,0.8191489361702128,0.8911271266540642,0.8191489361702128,0
4,0.2094434891707631,0.9497225715414338,0.8152173913043478,0.8222222222222222,0.8043478260869565,0.8131868131868132,0.9053048204158789,0.8191489361702128,1
5,0.21013974184509376,0.9885238366930381,0.8532608695652174,0.8282828282828283,0.8913043478260869,0.8586387434554974,0.8891186200378072,0.8586387434554974,0
6,0.30693862081478496,0.8524666286033132,0.8152173913043478,0.8222222222222222,0.8043478260869565,0.8131868131868132,0.8934310018903592,0.8586387434554974,1
7,0.1607701263693833,0.8952910109706547,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8903591682419659,0.8586387434554974,2
8,0.13409835576901089,1.046461479333432,0.8369565217391305,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.9032372400756143,0.8586387434554974,3
9,0.15601163984347993,0.851301701536969,0.8641304347826086,0.8681318681318682,0.8586956521739131,0.8633879781420765,0.9156427221172022,0.8633879781420765,0
10,0.256058432115114,0.6907393381647442,0.8858695652173914,0.8585858585858586,0.9239130434782609,0.8900523560209425,0.9228497164461248,0.8900523560209425,0
11,0.1578282284272763,0.7313053102596946,0.8206521739130435,0.8105263157894737,0.8369565217391305,0.8235294117647058,0.921313799621928,0.8900523560209425,1
12,0.13586782387430282,0.9501813585343568,0.7989130434782609,0.8313253012048193,0.75,0.7885714285714286,0.8982750472589792,0.8900523560209425,2
13,0.1263290662129773,0.8032693927702697,0.782608695652174,0.76,0.8260869565217391,0.7916666666666666,0.8796077504725898,0.8900523560209425,3
14,0.12370065789462507,0.5870342840966971,0.8478260869565217,0.8555555555555555,0.8369565217391305,0.8461538461538461,0.9268667296786389,0.8900523560209425,4
15,0.06203142275002652,0.6931934524327517,0.8260869565217391,0.8125,0.8478260869565217,0.8297872340425532,0.9123345935727788,0.8900523560209425,5
16,0.10409059436465164,0.6025921039931152,0.8641304347826086,0.8383838383838383,0.9021739130434783,0.8691099476439791,0.9263941398865784,0.8900523560209425,6
17,0.05333506377480392,0.6200452374051446,0.8532608695652174,0.8421052631578947,0.8695652173913043,0.8556149732620321,0.9330103969754253,0.8900523560209425,7
18,0.03326066530756249,0.5422515205067137,0.8586956521739131,0.851063829787234,0.8695652173913043,0.8602150537634409,0.9445888468809075,0.8900523560209425,8
19,0.054866722655708224,0.685560809529346,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.9217863894139886,0.8900523560209425,9
20,0.08349029771356932,0.6741565375224404,0.8478260869565217,0.8555555555555555,0.8369565217391305,0.8461538461538461,0.9171195652173914,0.8900523560209425,10
21,0.03915273183919963,0.6145806753117106,0.842391304347826,0.8461538461538461,0.8369565217391305,0.8415300546448088,0.9333648393194707,0.8900523560209425,11
22,0.03048546534833744,0.6822638330252274,0.8532608695652174,0.8421052631578947,0.8695652173913043,0.8556149732620321,0.9222589792060492,0.8900523560209425,12
