epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,0.6893433116294525,0.6796498169069705,0.6739130434782609,0.6951219512195121,0.6195652173913043,0.6551724137931034,0.7315689981096408,0.6551724137931034,0
2,0.6726800923819071,0.6707775955614836,0.7065217391304348,0.69,0.75,0.71875,0.7410207939508506,0.71875,0
3,0.6600516759432279,0.6585990553316863,0.6956521739130435,0.7093023255813954,0.6630434782608695,0.6853932584269663,0.7481096408317581,0.71875,1
4,0.6597799177353199,0.6569739735644796,0.6684782608695652,0.6962025316455697,0.5978260869565217,0.6432748538011696,0.756852551984877,0.71875,2
5,0.6453242439490098,0.6375372383905493,0.7282608695652174,0.7142857142857143,0.7608695652173914,0.7368421052631579,0.792296786389414,0.7368421052631579,0
6,0.6383607534916846,0.641670092292454,0.6413043478260869,0.703125,0.4891304347826087,0.5769230769230769,0.7822542533081285,0.7368421052631579,1
7,0.6342400620271872,0.6395438779955325,0.7065217391304348,0.6862745098039216,0.7608695652173914,0.7216494845360825,0.7703213610586012,0.7368421052631579,2
8,0.6280145854740352,0.6286395917768064,0.6956521739130435,0.7,0.6847826086956522,0.6923076923076923,0.8022211720226843,0.7368421052631579,3
9,0.6245389096029512,0.620304701120957,0.6793478260869565,0.726027397260274,0.5760869565217391,0.6424242424242425,0.7974952741020794,0.7368421052631579,4
10,0.6217531427577302,0.6461612374886222,0.7336956521739131,0.7171717171717171,0.7717391304347826,0.743455497382199,0.7809546313799622,0.743455497382199,0
11,0.6177793187754494,0.6229944643766984,0.717391304347826,0.7222222222222222,0.7065217391304348,0.7142857142857143,0.7985586011342156,0.743455497382199,1
12,0.6219080015198215,0.606215159530225,0.6902173913043478,0.6966292134831461,0.6739130434782609,0.6850828729281768,0.8060018903591682,0.743455497382199,2
13,0.6107705680878608,0.6023494186608688,0.7010869565217391,0.7126436781609196,0.6739130434782609,0.6927374301675978,0.8100189035916824,0.743455497382199,3
14,0.6107938679365011,0.6310789300047833,0.6902173913043478,0.7058823529411765,0.6521739130434783,0.6779661016949152,0.7880434782608696,0.743455497382199,4
15,0.6054092455696274,0.5979728310004525,0.7228260869565217,0.759493670886076,0.6521739130434783,0.7017543859649122,0.8167533081285444,0.743455497382199,5
16,0.602848144022973,0.5879619652810304,0.717391304347826,0.7222222222222222,0.7065217391304348,0.7142857142857143,0.8263232514177694,0.743455497382199,6
17,0.5984914401075342,0.5996707029964613,0.7771739130434783,0.7383177570093458,0.8586956521739131,0.7939698492462312,0.8280954631379962,0.7939698492462312,0
18,0.5984738082676143,0.5967880435611891,0.75,0.7395833333333334,0.7717391304347826,0.7553191489361702,0.8206521739130435,0.7939698492462312,1
19,0.5933805730316665,0.5751538406247678,0.717391304347826,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.8381379962192816,0.7939698492462312,2
20,0.5826333266693157,0.6231341828470645,0.7663043478260869,0.7289719626168224,0.8478260869565217,0.7839195979899497,0.8097826086956521,0.7939698492462312,3
21,0.5731185090083343,0.5623861927053203,0.7445652173913043,0.7319587628865979,0.7717391304347826,0.7513227513227513,0.844163516068053,0.7939698492462312,4
22,0.5911856182328947,0.5827397950317549,0.7065217391304348,0.7567567567567568,0.6086956521739131,0.6746987951807228,0.8193525519848771,0.7939698492462312,5
23,0.5957761367598733,0.5710970914882162,0.7608695652173914,0.7352941176470589,0.8152173913043478,0.7731958762886598,0.8304584120982986,0.7939698492462312,6
24,0.5835253131258619,0.578614177911178,0.7608695652173914,0.7553191489361702,0.7717391304347826,0.7634408602150538,0.8309310018903592,0.7939698492462312,7
25,0.5882815797250349,0.5936432869538016,0.7554347826086957,0.7640449438202247,0.7391304347826086,0.7513812154696132,0.8401465028355387,0.7939698492462312,8
26,0.5846899842822945,0.5567470465017401,0.8043478260869565,0.7592592592592593,0.8913043478260869,0.82,0.8653119092627599,0.82,0
27,0.5788938285230281,0.5814493868661963,0.7554347826086957,0.7526881720430108,0.7608695652173914,0.7567567567567568,0.8387287334593573,0.82,1
