epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,0.6893432998395228,0.6796497443447942,0.6739130434782609,0.6951219512195121,0.6195652173913043,0.6551724137931034,0.7315689981096408,0.6551724137931034,0
2,0.6726799712076292,0.670777440071106,0.7065217391304348,0.69,0.75,0.71875,0.7410207939508506,0.71875,0
3,0.6600514093598167,0.658598736576412,0.6956521739130435,0.7093023255813954,0.6630434782608695,0.6853932584269663,0.7481096408317581,0.71875,1
4,0.6597795293226347,0.6569734915443088,0.6684782608695652,0.6962025316455697,0.5978260869565217,0.6432748538011696,0.756852551984877,0.71875,2
5,0.6453236790148766,0.637536354686903,0.7282608695652174,0.7142857142857143,0.7608695652173914,0.7368421052631579,0.792296786389414,0.7368421052631579,0
6,0.6383599756838201,0.6416691256606061,0.6413043478260869,0.703125,0.4891304347826087,0.5769230769230769,0.7822542533081285,0.7368421052631579,1
7,0.6342390238583743,0.6395427351412566,0.7065217391304348,0.6862745098039216,0.7608695652173914,0.7216494845360825,0.7703213610586012,0.7368421052631579,2
8,0.628013340981452,0.6286380446475485,0.6956521739130435,0.7,0.6847826086956522,0.6923076923076923,0.8022211720226843,0.7368421052631579,3
9,0.6245375406611097,0.6203028222788936,0.6793478260869565,0.726027397260274,0.5760869565217391,0.6424242424242425,0.7974952741020794,0.7368421052631579,4
10,0.6217515851770129,0.6461598639902861,0.7336956521739131,0.7171717171717171,0.7717391304347826,0.743455497382199,0.7809546313799622,0.743455497382199,0
11,0.6177773072824373,0.6229923626650935,0.717391304347826,0.7222222222222222,0.7065217391304348,0.7142857142857143,0.7985586011342156,0.743455497382199,1
12,0.6219063096649045,0.6062124293783436,0.6902173913043478,0.6966292134831461,0.6739130434782609,0.6850828729281768,0.8060018903591682,0.743455497382199,2
13,0.6107682438342126,0.6023463127405747,0.7010869565217391,0.7126436781609196,0.6739130434782609,0.6927374301675978,0.8100189035916824,0.743455497382199,3
14,0.6107915535077943,0.6310764836228412,0.6902173913043478,0.7058823529411765,0.6521739130434783,0.6779661016949152,0.7879253308128544,0.743455497382199,4
15,0.6054066393401597,0.5979690914568694,0.7228260869565217,0.759493670886076,0.6521739130434783,0.7017543859649122,0.8167533081285444,0.743455497382199,5
16,0.6028451002561129,0.5879575428755387,0.717391304347826,0.7222222222222222,0.7065217391304348,0.7142857142857143,0.8263232514177694,0.743455497382199,6
17,0.5984882859738319,0.5996663712936899,0.7771739130434783,0.7383177570093458,0.8586956521739131,0.7939698492462312,0.8280954631379962,0.7939698492462312,0
18,0.5984702755461683,0.5967834682568259,0.75,0.7395833333333334,0.7717391304347826,0.7553191489361702,0.8206521739130435,0.7939698492462312,1
19,0.5933768968660753,0.5751481367194134,0.717391304347826,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.8381379962192816,0.7939698492462312,2
20,0.5826293488780221,0.6231301919273708,0.7663043478260869,0.7289719626168224,0.8478260869565217,0.7839195979899497,0.8097826086956521,0.7939698492462312,3
21,0.5731139404105616,0.5623796621094579,0.7445652173913043,0.7319587628865979,0.7717391304347826,0.7513227513227513,0.844163516068053,0.7939698492462312,4
22,0.5911813777881664,0.5827338138352269,0.7065217391304348,0.7567567567567568,0.6086956521739131,0.6746987951807228,0.8193525519848771,0.7939698492462312,5
23,0.5957712295291188,0.5710903846699259,0.7608695652173914,0.7352941176470589,0.8152173913043478,0.7731958762886598,0.8304584120982986,0.7939698492462312,6
24,0.5835204995595492,0.5786073803901672,0.7608695652173914,0.7553191489361702,0.7717391304347826,0.7634408602150538,0.8309310018903592,0.7939698492462312,7
25,0.5882763214163728,0.5936368548351786,0.7554347826086957,0.7640449438202247,0.7391304347826086,0.7513812154696132,0.8401465028355387,0.7939698492462312,8
26,0.5846849067525549,0.5567383934622225,0.8043478260869565,0.7592592592592593,0.8913043478260869,0.82,0.8653119092627599,0.82,0
27,0.5788883976228945,0.5814420010732568,0.7554347826086957,0.7526881720430108,0.7608695652173914,0.7567567567567568,0.8387287334593573,0.82,1
28,0.5864333474374079,0.553664347399836,0.717391304347826,0.7631578947368421,0.6304347826086957,0.6904761904761905,0.8453449905482041,0.82,2
29,0.5782400179695297,0.562455731889476,0.782608695652174,0.7280701754385965,0.9021739130434783,0.8058252427184466,0.8383742911153119,0.82,3
30,0.5727870493799776,0.5451689945614856,0.7771739130434783,0.7524752475247525,0.8260869565217391,0.7875647668393783,0.8621219281663515,0.82,4
31,0.575819900730154,0.5599979252918906,0.7445652173913043,0.7586206896551724,0.717391304347826,0.7374301675977654,0.8479442344045369,0.82,5
32,0.5673588795976324,0.5524686380572941,0.7771739130434783,0.7428571428571429,0.8478260869565217,0.7918781725888325,0.8438090737240076,0.82,6
33,0.5688322864390991,0.5501422195330911,0.7771739130434783,0.7628865979381443,0.8043478260869565,0.783068783068783,0.8525519848771267,0.82,7
34,0.5710388805185046,0.5632534078929735,0.7989130434782609,0.7522935779816514,0.8913043478260869,0.8159203980099502,0.8327032136105861,0.82,8
35,0.551275868664731,0.5810572427252064,0.7663043478260869,0.7578947368421053,0.782608695652174,0.7700534759358288,0.8465264650283554,0.82,9
36,0.5587021377715435,0.6005389094352722,0.7608695652173914,0.7105263157894737,0.8804347826086957,0.7864077669902912,0.8356568998109641,0.82,10
37,0.5642536665712085,0.5264741467392963,0.7771739130434783,0.7802197802197802,0.7717391304347826,0.7759562841530054,0.8688563327032136,0.82,11
38,0.5621515351992387,0.524850079546804,0.782608695652174,0.7653061224489796,0.8152173913043478,0.7894736842105263,0.8631852551984877,0.82,12
