epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
1,2.175308446238812,0.5112781954887218,1.961433793051859,0.5617977528089888,0.5647058823529412,0.5393258426966292,0.5517241379310345,0.5979043050119934
2,2.213665909336922,0.5112781954887218,1.741264645638091,0.5842696629213483,0.5925925925925926,0.5393258426966292,0.5647058823529412,0.6437318520388838
3,1.9750381573698574,0.5582706766917294,1.7866561458435621,0.6067415730337079,0.6091954022988506,0.5955056179775281,0.6022727272727273,0.6361570508774144
4,1.9875687566914952,0.5620300751879699,1.7625191898158428,0.601123595505618,0.5978260869565217,0.6179775280898876,0.6077348066298343,0.643731852038884
5,1.6651057713013842,0.5883458646616542,1.7007889520753636,0.6179775280898876,0.6153846153846154,0.6292134831460674,0.6222222222222222,0.6569877540714557
6,1.895778028588546,0.556390977443609,1.6902853602103973,0.6123595505617978,0.625,0.5617977528089888,0.591715976331361,0.6500441863401085
7,1.624973501926078,0.6033834586466166,1.7571731727109867,0.6235955056179775,0.6341463414634146,0.5842696629213483,0.6081871345029239,0.651180406514329
8,1.839961938840106,0.5620300751879699,1.5865495014056732,0.6235955056179775,0.6195652173913043,0.6404494382022472,0.6298342541436464,0.6850145183688929
9,1.8148492341651057,0.5639097744360902,1.7630599884504683,0.5955056179775281,0.5934065934065934,0.6067415730337079,0.6,0.6481504860497411
10,1.8513717418326472,0.5864661654135338,1.7713668532250972,0.6235955056179775,0.6309523809523809,0.5955056179775281,0.6127167630057804,0.6626688549425577
11,1.8040051980126173,0.5827067669172933,1.577534481045905,0.6404494382022472,0.6404494382022472,0.6404494382022472,0.6404494382022472,0.6879813154904684
12,1.653853444228495,0.6165413533834586,1.660420682992828,0.6179775280898876,0.6179775280898876,0.6179775280898876,0.6179775280898876,0.6713798762782477
13,1.541013108608418,0.5958646616541353,1.7000060541073927,0.6235955056179775,0.6222222222222222,0.6292134831460674,0.6256983240223464,0.6741573033707865
14,1.6651893690564579,0.5958646616541353,1.596358433198393,0.6292134831460674,0.6210526315789474,0.6629213483146067,0.6413043478260869,0.6773134705213987
15,1.59316361040101,0.6146616541353384,1.6204186885544423,0.6235955056179775,0.625,0.6179775280898876,0.6214689265536724,0.6893069056937257
16,1.5312163023124064,0.6240601503759399,1.625445131003187,0.6179775280898876,0.6129032258064516,0.6404494382022472,0.6263736263736264,0.684257038252746
17,1.5894410977686257,0.6033834586466166,1.5571921424249584,0.6067415730337079,0.6067415730337079,0.6067415730337079,0.6067415730337079,0.6886756722636032
18,1.5795222260898216,0.5958646616541353,1.5202522013294564,0.6292134831460674,0.6263736263736264,0.6404494382022472,0.6333333333333333,0.7000378740058074
19,1.5568100025779323,0.5939849624060151,1.574850274940555,0.6067415730337079,0.6021505376344086,0.6292134831460674,0.6153846153846154,0.6922105794722889
20,1.503967153398614,0.6296992481203008,1.5456066742706835,0.6404494382022472,0.6506024096385542,0.6067415730337079,0.627906976744186,0.68943315237975
21,1.3941461726238853,0.6372180451127819,1.497451028797064,0.6067415730337079,0.6,0.6404494382022472,0.6195652173913043,0.6909481126120439
22,1.5139128200541763,0.6240601503759399,1.4946517743421404,0.6404494382022472,0.6373626373626373,0.651685393258427,0.6444444444444445,0.7021840676682237
23,1.4261696634436012,0.650375939849624,1.3955537559611073,0.6348314606741573,0.6304347826086957,0.651685393258427,0.6408839779005525,0.7098851155157176
24,1.5574117405970294,0.618421052631579,1.5325279038273887,0.6460674157303371,0.6511627906976745,0.6292134831460674,0.64,0.7062239616210075
25,1.504272691289285,0.6447368421052632,1.4263078503394395,0.651685393258427,0.6363636363636364,0.7078651685393258,0.6702127659574468,0.7254134578967303
26,1.3485507534858876,0.6616541353383458,1.506092307105493,0.6629213483146067,0.6593406593406593,0.6741573033707865,0.6666666666666666,0.7108950890039136
27,1.3137487146191131,0.6203007518796992,1.4224670274873799,0.6348314606741573,0.6395348837209303,0.6179775280898876,0.6285714285714286,0.713546269410428
28,1.3479744904023363,0.6466165413533834,1.4297590007942713,0.6123595505617978,0.6136363636363636,0.6067415730337079,0.6101694915254238,0.7163236965029668
29,1.3243010398140527,0.6428571428571429,1.409558354468828,0.6235955056179775,0.6195652173913043,0.6404494382022472,0.6298342541436464,0.7218785506880444
30,1.4217071712465215,0.650375939849624,1.435991833718975,0.6348314606741573,0.6276595744680851,0.6629213483146067,0.644808743169399,0.7154399697007955
31,1.4602178684750895,0.6278195488721805,1.406546914175655,0.6685393258426966,0.6630434782608695,0.6853932584269663,0.6740331491712708,0.7231410175482893
32,1.4252739006415345,0.6372180451127819,1.4300071345956138,0.6292134831460674,0.6263736263736264,0.6404494382022472,0.6333333333333333,0.7178386567352606
33,1.4003066555001682,0.6597744360902256,1.4310235449772202,0.6235955056179775,0.6195652173913043,0.6404494382022472,0.6298342541436464,0.7102638555737912
34,1.325419527247436,0.6541353383458647,1.2803097916453072,0.6685393258426966,0.6704545454545454,0.6629213483146067,0.6666666666666666,0.7393005933594242
35,1.327945626992032,0.6560150375939849,1.3583444711867343,0.6573033707865169,0.6590909090909091,0.651685393258427,0.655367231638418,0.7194798636535791
36,1.3496986645504945,0.6296992481203008,1.3088433320602675,0.651685393258427,0.6588235294117647,0.6292134831460674,0.6436781609195402,0.7293271051634894
37,1.3486654005552594,0.6560150375939849,1.4079917398061645,0.651685393258427,0.6483516483516484,0.6629213483146067,0.6555555555555556,0.7169549299330892
38,1.3223121329805905,0.6372180451127819,1.312760097926922,0.6404494382022472,0.6436781609195402,0.6292134831460674,0.6363636363636364,0.7372806463830325
39,1.0649255641869135,0.6917293233082706,1.3221604060590937,0.6404494382022472,0.6436781609195402,0.6292134831460674,0.6363636363636364,0.7268021714429996
40,1.2802624630748778,0.6428571428571429,1.311713001031554,0.6348314606741573,0.6276595744680851,0.6629213483146067,0.644808743169399,0.7350082060345915
41,1.219674777715726,0.6672932330827067,1.3226183277837347,0.6404494382022472,0.6470588235294118,0.6179775280898876,0.632183908045977,0.7252872112107057
42,1.1606606787308715,0.6672932330827067,1.3631521992469102,0.651685393258427,0.6626506024096386,0.6179775280898876,0.6395348837209303,0.7226360308041914
43,1.1479766414801877,0.693609022556391,1.336077667354198,0.6460674157303371,0.6444444444444445,0.651685393258427,0.6480446927374302,0.7194798636535791
44,1.1581159135452788,0.6992481203007519,1.381794816992256,0.6685393258426966,0.6704545454545454,0.6629213483146067,0.6666666666666666,0.7226360308041914
45,1.202052259579637,0.6766917293233082,1.3138928346419603,0.6292134831460674,0.6236559139784946,0.651685393258427,0.6373626373626373,0.7372806463830325
46,1.0917068370302816,0.6842105263157895,1.3215866303176023,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.7245297310945588
47,1.068371870463952,0.6804511278195489,1.2893136331204618,0.6573033707865169,0.6590909090909091,0.651685393258427,0.655367231638418,0.7331145057442243
48,1.200598625312174,0.6484962406015038,1.319750415475181,0.6179775280898876,0.6235294117647059,0.5955056179775281,0.6091954022988506,0.7241509910364853
49,1.117692164460519,0.6973684210526315,1.227861962961347,0.6179775280898876,0.6235294117647059,0.5955056179775281,0.6091954022988506,0.7403105668476202
50,1.245570114680699,0.6597744360902256,1.3750939108012767,0.6348314606741573,0.6463414634146342,0.5955056179775281,0.6198830409356725,0.719984850397677
51,1.1407014400439155,0.6766917293233082,1.243267992909035,0.6348314606741573,0.6463414634146342,0.5955056179775281,0.6198830409356725,0.7406893069056937
52,1.1053431069940554,0.674812030075188,1.198638811540068,0.651685393258427,0.6451612903225806,0.6741573033707865,0.6593406593406593,0.746117914404747
53,1.2111659560884749,0.6804511278195489,1.1924076026745056,0.651685393258427,0.6551724137931034,0.6404494382022472,0.6477272727272727,0.7429617472541346
54,1.0776709524312413,0.674812030075188,1.2297480273782537,0.6685393258426966,0.6704545454545454,0.6629213483146067,0.6666666666666666,0.7446029541724529
55,0.97735853930165,0.706766917293233,1.197747973913557,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.752051508647898
56,1.1576626831875707,0.6522556390977443,1.2634152803528176,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.7372806463830325
57,1.0353171065785831,0.7105263157894737,1.193945208292329,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.7437192273702816
58,1.0663954915856957,0.6710526315789473,1.2706197895360796,0.651685393258427,0.6451612903225806,0.6741573033707865,0.6593406593406593,0.7353869460926651
59,0.9800509272661424,0.7105263157894737,1.229087123710118,0.6460674157303371,0.6382978723404256,0.6741573033707865,0.6557377049180327,0.7346294659765181
60,0.9815071036941126,0.6860902255639098,1.2400661666741533,0.6573033707865169,0.6555555555555556,0.6629213483146067,0.659217877094972,0.736396919580861
61,1.0385717789929612,0.6898496240601504,1.238694904895311,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.7381643731852039
62,1.1283773775387527,0.7030075187969925,1.2235957397503798,0.6629213483146067,0.6593406593406593,0.6741573033707865,0.6666666666666666,0.7395530867314734
63,1.0254109479430924,0.6729323308270677,1.2575211149922918,0.6404494382022472,0.654320987654321,0.5955056179775281,0.6235294117647059,0.7317257921979549
64,1.0867892723334462,0.6860902255639098,1.278832294298022,0.6460674157303371,0.6511627906976745,0.6292134831460674,0.64,0.7342507259184446
65,1.1300954621537287,0.6785714285714286,1.1359636020124628,0.6460674157303371,0.6413043478260869,0.6629213483146067,0.6519337016574586,0.7515465219038
66,0.933877459930298,0.7048872180451128,1.2040663656224027,0.6573033707865169,0.6555555555555556,0.6629213483146067,0.659217877094972,0.7472541345789673
67,0.9768134221098477,0.706766917293233,1.1808647540178192,0.6235955056179775,0.627906976744186,0.6067415730337079,0.6171428571428571,0.7485166014392122
68,1.0097572149190688,0.706766917293233,1.2075459501716528,0.6629213483146067,0.6666666666666666,0.651685393258427,0.6590909090909091,0.7453604342885999
69,0.9762030409691029,0.6992481203007519,1.1400151132197862,0.6685393258426966,0.6595744680851063,0.6966292134831461,0.6775956284153005,0.7545764423683877
70,0.9212365508975839,0.7011278195488722,1.1249883580073883,0.6348314606741573,0.6395348837209303,0.6179775280898876,0.6285714285714286,0.7552076757985103
71,1.0200131880609613,0.6823308270676691,1.1967297933074865,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.743340487312208
72,0.93486442825848,0.7086466165413534,1.238380765647031,0.6460674157303371,0.6547619047619048,0.6179775280898876,0.6358381502890174,0.7294533518495139
73,1.0487289984423416,0.6898496240601504,1.17125236251381,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.7444767074864284
74,0.9436349371322116,0.7274436090225563,1.174839631895001,0.6629213483146067,0.6705882352941176,0.6404494382022472,0.6551724137931034,0.7457391743466735
75,0.8990441134997776,0.7330827067669173,1.1657554152306546,0.6685393258426966,0.6785714285714286,0.6404494382022472,0.6589595375722543,0.7491478348693347
76,0.9448338451242089,0.7161654135338346,1.163465582252888,0.6685393258426966,0.6744186046511628,0.651685393258427,0.6628571428571428,0.7453604342886
77,0.9584601673864781,0.7180451127819549,1.157832651995541,0.6573033707865169,0.6627906976744186,0.6404494382022472,0.6514285714285715,0.743592980684257
78,0.9802398555596968,0.7105263157894737,1.1442584924483568,0.6910112359550562,0.7023809523809523,0.6629213483146067,0.6820809248554913,0.7535664688801919
79,0.9158171164362054,0.7105263157894737,1.0855889561470975,0.6685393258426966,0.6785714285714286,0.6404494382022472,0.6589595375722543,0.7567226360308041
80,1.021958069245618,0.7011278195488722,1.1368534029199835,0.6404494382022472,0.6470588235294118,0.6179775280898876,0.632183908045977,0.744097967428355
81,0.9096511631531823,0.7199248120300752,1.1226815534441659,0.651685393258427,0.6551724137931034,0.6404494382022472,0.6477272727272727,0.7476328746370409
82,0.9434207314835455,0.7048872180451128,1.0914285370473111,0.6460674157303371,0.6354166666666666,0.6853932584269663,0.6594594594594595,0.7670748642848125
83,0.9905967837885806,0.7011278195488722,1.0234019716134233,0.6853932584269663,0.6736842105263158,0.7191011235955056,0.6956521739130435,0.7764171190506249
84,0.8843810558319092,0.7349624060150376,1.0949278694860052,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.7476328746370408
85,0.9266717935863295,0.7124060150375939,1.1493894611851554,0.6235955056179775,0.6375,0.5730337078651685,0.6035502958579881,0.7419517737659386
86,0.9628229047122755,0.7161654135338346,1.0793746160657218,0.6797752808988764,0.6777777777777778,0.6853932584269663,0.6815642458100558,0.7689685645751798
87,0.9403979917217914,0.7406015037593985,1.081167191601871,0.6629213483146067,0.6593406593406593,0.6741573033707865,0.6666666666666666,0.7626562302739553
88,0.8791057557091677,0.7086466165413534,1.138453557250205,0.6348314606741573,0.6276595744680851,0.6629213483146067,0.644808743169399,0.7483903547531877
89,0.8915601462349856,0.731203007518797,1.1410147085618436,0.6629213483146067,0.6883116883116883,0.5955056179775281,0.6385542168674698,0.7496528216134327
90,1.0199553590071828,0.7011278195488722,1.1219533253251837,0.6910112359550562,0.6931818181818182,0.6853932584269663,0.6892655367231638,0.7576063628329757
91,0.9335535943956303,0.7030075187969925,1.0757929555485757,0.6910112359550562,0.7073170731707317,0.651685393258427,0.6783625730994152,0.765433657366494
92,0.9359898042858095,0.6917293233082706,1.1672104108199646,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.7536927155662163
93,0.7530700559902909,0.7406015037593985,1.0774818364154086,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.7573538694609266
94,0.8149891482259994,0.7368421052631579,1.1823835319347595,0.6573033707865169,0.6555555555555556,0.6629213483146067,0.659217877094972,0.7496528216134326
95,0.8634891536899079,0.7161654135338346,1.0708101324820787,0.6629213483146067,0.6559139784946236,0.6853932584269663,0.6703296703296703,0.7627824769599798
96,0.8141980834613393,0.7443609022556391,1.044024933589978,0.6685393258426966,0.6595744680851063,0.6966292134831461,0.6775956284153005,0.769221057947229
97,0.892809538016642,0.7086466165413534,1.149760468622272,0.6292134831460674,0.6236559139784946,0.651685393258427,0.6373626373626373,0.7453604342886
98,0.9433135672619468,0.7255639097744361,1.0659798745358928,0.6573033707865169,0.6627906976744186,0.6404494382022472,0.6514285714285715,0.7653074106804697
99,0.8429840319138721,0.7274436090225563,1.1239242714442563,0.6685393258426966,0.6630434782608695,0.6853932584269663,0.6740331491712708,0.7488953414972856
100,0.9370327923530922,0.7218045112781954,1.0756631004676391,0.651685393258427,0.6551724137931034,0.6404494382022472,0.6477272727272727,0.7640449438202247
101,0.8920626985399347,0.7105263157894737,1.0749647188722418,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.7586163363211715
102,0.8986198453974903,0.7255639097744361,1.1178095916683755,0.6629213483146067,0.6705882352941176,0.6404494382022472,0.6551724137931034,0.7558389092286326
103,0.8345941363420701,0.7180451127819549,1.0481311873103796,0.6348314606741573,0.625,0.6741573033707865,0.6486486486486487,0.7661911374826411
104,0.8832025200800788,0.731203007518797,1.101703118742182,0.6404494382022472,0.6404494382022472,0.6404494382022472,0.6404494382022472,0.7504103017295797
105,0.8077487873851805,0.7368421052631579,1.0852919629450595,0.6797752808988764,0.6702127659574468,0.7078651685393258,0.6885245901639344,0.7649286706223962
106,0.9482332174491165,0.7124060150375939,1.0889433394657093,0.6404494382022472,0.6470588235294118,0.6179775280898876,0.632183908045977,0.7540714556242898
107,0.8304401461343119,0.731203007518797,1.137744750869408,0.6685393258426966,0.6829268292682927,0.6292134831460674,0.6549707602339181,0.7454866809746244
108,0.817020336936291,0.7481203007518797,1.0352368227551492,0.6629213483146067,0.6790123456790124,0.6179775280898876,0.6470588235294118,0.7663173841686655
109,0.7959328436649832,0.7349624060150376,1.0458058815323905,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.7637924504481757
110,0.7040984675400239,0.7781954887218046,1.0596590095691467,0.6741573033707865,0.6781609195402298,0.6629213483146067,0.6704545454545454,0.7649286706223961
111,0.8448167169900765,0.7293233082706767,1.0341381142648418,0.6348314606741573,0.6304347826086957,0.651685393258427,0.6408839779005525,0.766696124226739
112,0.8794577164309365,0.7048872180451128,1.0750642371981332,0.6741573033707865,0.6867469879518072,0.6404494382022472,0.6627906976744186,0.7568488827168287
113,0.8054455996007848,0.7218045112781954,1.0564196042800218,0.6741573033707865,0.6823529411764706,0.651685393258427,0.6666666666666666,0.7569751294028532
114,0.8018608743086794,0.7424812030075187,1.0822020648570543,0.6685393258426966,0.6704545454545454,0.6629213483146067,0.6666666666666666,0.7588688296932206
115,0.8991744262831551,0.7330827067669173,1.0509118283732553,0.6573033707865169,0.6627906976744186,0.6404494382022472,0.6514285714285715,0.7703572781214493
116,0.6738846342366441,0.7725563909774437,1.0869143826238226,0.702247191011236,0.6875,0.7415730337078652,0.7135135135135136,0.7703572781214494
117,0.7255484762048363,0.731203007518797,0.969707142101245,0.6629213483146067,0.6705882352941176,0.6404494382022472,0.6551724137931034,0.7737659386441106
118,0.8222682843530985,0.7349624060150376,1.0028825596477209,0.6853932584269663,0.6774193548387096,0.7078651685393258,0.6923076923076923,0.7829819467238985
119,0.8215107451704212,0.7236842105263158,1.0878164232446905,0.6741573033707865,0.6867469879518072,0.6404494382022472,0.6627906976744186,0.767706097714935
120,0.7842193949491458,0.7236842105263158,1.041048556231381,0.6853932584269663,0.6896551724137931,0.6741573033707865,0.6818181818181818,0.7737659386441106
121,0.6501641614096505,0.7612781954887218,1.0605953181727548,0.6629213483146067,0.6835443037974683,0.6067415730337079,0.6428571428571429,0.7579851028910491
122,0.7810762618717394,0.7518796992481203,0.97409835022487,0.6741573033707865,0.6741573033707865,0.6741573033707865,0.6741573033707865,0.7809619997475067
123,0.7806863668689826,0.7368421052631579,1.0376103728005055,0.6685393258426966,0.65625,0.7078651685393258,0.6810810810810811,0.7655599040525186
124,0.7611579469272068,0.7274436090225563,1.061186829309785,0.6573033707865169,0.6627906976744186,0.6404494382022472,0.6514285714285715,0.7718722383537432
125,0.7596173860076675,0.7481203007518797,1.0184876811638306,0.6853932584269663,0.6813186813186813,0.6966292134831461,0.6888888888888889,0.7781845726549678
126,0.7451449845518384,0.7556390977443609,0.98273162359602,0.651685393258427,0.6551724137931034,0.6404494382022472,0.6477272727272727,0.7752808988764045
127,0.7517181850857753,0.7406015037593985,1.0470312733328744,0.6573033707865169,0.6666666666666666,0.6292134831460674,0.6473988439306358,0.7632874637040777
128,0.7455161711327115,0.7669172932330827,1.0051586299799802,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.7660648907966165
129,0.6919848918914795,0.7462406015037594,1.0021384894178156,0.6741573033707865,0.6781609195402298,0.6629213483146067,0.6704545454545454,0.7735134452720616
130,0.7697484945892391,0.75,0.9739965240607101,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.6629213483146067,0.7728822118419391
131,0.7824040852991262,0.7406015037593985,1.0619283338611045,0.651685393258427,0.6626506024096386,0.6179775280898876,0.6395348837209303,0.7627824769599797
132,0.7327677222122824,0.7518796992481203,0.9511696542246958,0.651685393258427,0.651685393258427,0.651685393258427,0.651685393258427,0.7769221057947229
133,0.7833120728793898,0.7593984962406015,0.9555442092123996,0.6853932584269663,0.6813186813186813,0.6966292134831461,0.6888888888888889,0.7764171190506249
134,0.7658736215050059,0.7406015037593985,1.0089994159977087,0.6629213483146067,0.6746987951807228,0.6292134831460674,0.6511627906976745,0.7717459916677187
135,0.8706564417010859,0.7424812030075187,0.9667231487424186,0.6853932584269663,0.6853932584269663,0.6853932584269663,0.6853932584269663,0.7796995328872616
136,0.8430920543527245,0.7236842105263158,1.0680674314498901,0.6685393258426966,0.6875,0.6179775280898876,0.650887573964497,0.7639186971342002
137,0.8474039914912748,0.7387218045112782,1.0529491472780035,0.6741573033707865,0.691358024691358,0.6292134831460674,0.6588235294117647,0.7629087236460043
138,0.7305469143211394,0.7518796992481203,0.9748861695943254,0.6797752808988764,0.6951219512195121,0.6404494382022472,0.6666666666666666,0.7795732862012372
139,0.7090913064049599,0.7706766917293233,1.0151592265354115,0.6460674157303371,0.6413043478260869,0.6629213483146067,0.6519337016574586,0.765938644110592
