EfficientNetB0 | эпоха 030/400 | ошибка_обучения=1.4217 | точность_обучения=0.6504 | ошибка_валидации=1.4360 | точность_валидации=0.6348 | precision=0.6277 | recall=0.6629 | ROC-AUC=0.7154
EfficientNetB0 | эпоха 031/400 | ошибка_обучения=1.4602 | точность_обучения=0.6278 | ошибка_валидации=1.4065 | точность_валидации=0.6685 | precision=0.6630 | recall=0.6854 | ROC-AUC=0.7231
EfficientNetB0 | эпоха 032/400 | ошибка_обучения=1.4253 | точность_обучения=0.6372 | ошибка_валидации=1.4300 | точность_валидации=0.6292 | precision=0.6264 | recall=0.6404 | ROC-AUC=0.7178
EfficientNetB0 | эпоха 033/400 | ошибка_обучения=1.4003 | точность_обучения=0.6598 | ошибка_валидации=1.4310 | точность_валидации=0.6236 | precision=0.6196 | recall=0.6404 | ROC-AUC=0.7103
EfficientNetB0 | эпоха 034/400 | ошибка_обучения=1.3254 | точность_обучения=0.6541 | ошибка_валидации=1.2803 | точность_валидации=0.6685 | precision=0.6705 | recall=0.6629 | ROC-AUC=0.7393
EfficientNetB0 | эпоха 035/400 | ошибка_обучения=1.3279 | точность_обучения=0.6560 | ошибка_валидации=1.3583 | точность_валидации=0.6573 | precision=0.6591 | recall=0.6517 | ROC-AUC=0.7195
EfficientNetB0 | эпоха 036/400 | ошибка_обучения=1.3497 | точность_обучения=0.6297 | ошибка_валидации=1.3088 | точность_валидации=0.6517 | precision=0.6588 | recall=0.6292 | ROC-AUC=0.7293
EfficientNetB0 | эпоха 037/400 | ошибка_обучения=1.3487 | точность_обучения=0.6560 | ошибка_валидации=1.4080 | точность_валидации=0.6517 | precision=0.6484 | recall=0.6629 | ROC-AUC=0.7170
EfficientNetB0 | эпоха 038/400 | ошибка_обучения=1.3223 | точность_обучения=0.6372 | ошибка_валидации=1.3128 | точность_валидации=0.6404 | precision=0.6437 | recall=0.6292 | ROC-AUC=0.7373
EfficientNetB0 | эпоха 039/400 | ошибка_обучения=1.0649 | точность_обучения=0.6917 | ошибка_валидации=1.3222 | точность_валидации=0.6404 | precision=0.6437 | recall=0.6292 | ROC-AUC=0.7268
EfficientNetB0 | эпоха 040/400 | ошибка_обучения=1.2803 | точность_обучения=0.6429 | ошибка_валидации=1.3117 | точность_валидации=0.6348 | precision=0.6277 | recall=0.6629 | ROC-AUC=0.7350
EfficientNetB0 | эпоха 041/400 | ошибка_обучения=1.2197 | точность_обучения=0.6673 | ошибка_валидации=1.3226 | точность_валидации=0.6404 | precision=0.6471 | recall=0.6180 | ROC-AUC=0.7253
EfficientNetB0 | эпоха 042/400 | ошибка_обучения=1.1607 | точность_обучения=0.6673 | ошибка_валидации=1.3632 | точность_валидации=0.6517 | precision=0.6627 | recall=0.6180 | ROC-AUC=0.7226
EfficientNetB0 | эпоха 043/400 | ошибка_обучения=1.1480 | точность_обучения=0.6936 | ошибка_валидации=1.3361 | точность_валидации=0.6461 | precision=0.6444 | recall=0.6517 | ROC-AUC=0.7195
EfficientNetB0 | эпоха 044/400 | ошибка_обучения=1.1581 | точность_обучения=0.6992 | ошибка_валидации=1.3818 | точность_валидации=0.6685 | precision=0.6705 | recall=0.6629 | ROC-AUC=0.7226
EfficientNetB0 | эпоха 045/400 | ошибка_обучения=1.2021 | точность_обучения=0.6767 | ошибка_валидации=1.3139 | точность_валидации=0.6292 | precision=0.6237 | recall=0.6517 | ROC-AUC=0.7373
EfficientNetB0 | эпоха 046/400 | ошибка_обучения=1.0917 | точность_обучения=0.6842 | ошибка_валидации=1.3216 | точность_валидации=0.6629 | precision=0.6629 | recall=0.6629 | ROC-AUC=0.7245
EfficientNetB0 | эпоха 047/400 | ошибка_обучения=1.0684 | точность_обучения=0.6805 | ошибка_валидации=1.2893 | точность_валидации=0.6573 | precision=0.6591 | recall=0.6517 | ROC-AUC=0.7331
EfficientNetB0 | эпоха 048/400 | ошибка_обучения=1.2006 | точность_обучения=0.6485 | ошибка_валидации=1.3198 | точность_валидации=0.6180 | precision=0.6235 | recall=0.5955 | ROC-AUC=0.7242
EfficientNetB0 | эпоха 049/400 | ошибка_обучения=1.1177 | точность_обучения=0.6974 | ошибка_валидации=1.2279 | точность_валидации=0.6180 | precision=0.6235 | recall=0.5955 | ROC-AUC=0.7403
EfficientNetB0 | эпоха 050/400 | ошибка_обучения=1.2456 | точность_обучения=0.6598 | ошибка_валидации=1.3751 | точность_валидации=0.6348 | precision=0.6463 | recall=0.5955 | ROC-AUC=0.7200
EfficientNetB0 | эпоха 051/400 | ошибка_обучения=1.1407 | точность_обучения=0.6767 | ошибка_валидации=1.2433 | точность_валидации=0.6348 | precision=0.6463 | recall=0.5955 | ROC-AUC=0.7407
EfficientNetB0 | эпоха 052/400 | ошибка_обучения=1.1053 | точность_обучения=0.6748 | ошибка_валидации=1.1986 | точность_валидации=0.6517 | precision=0.6452 | recall=0.6742 | ROC-AUC=0.7461
EfficientNetB0 | эпоха 053/400 | ошибка_обучения=1.2112 | точность_обучения=0.6805 | ошибка_валидации=1.1924 | точность_валидации=0.6517 | precision=0.6552 | recall=0.6404 | ROC-AUC=0.7430
EfficientNetB0 | эпоха 054/400 | ошибка_обучения=1.0777 | точность_обучения=0.6748 | ошибка_валидации=1.2297 | точность_валидации=0.6685 | precision=0.6705 | recall=0.6629 | ROC-AUC=0.7446
EfficientNetB0 | эпоха 055/400 | ошибка_обучения=0.9774 | точность_обучения=0.7068 | ошибка_валидации=1.1977 | точность_валидации=0.6517 | precision=0.6517 | recall=0.6517 | ROC-AUC=0.7521
EfficientNetB0 | эпоха 056/400 | ошибка_обучения=1.1577 | точность_обучения=0.6523 | ошибка_валидации=1.2634 | точность_валидации=0.6517 | precision=0.6517 | recall=0.6517 | ROC-AUC=0.7373
EfficientNetB0 | эпоха 057/400 | ошибка_обучения=1.0353 | точность_обучения=0.7105 | ошибка_валидации=1.1939 | точность_валидации=0.6629 | precision=0.6629 | recall=0.6629 | ROC-AUC=0.7437
EfficientNetB0 | эпоха 058/400 | ошибка_обучения=1.0664 | точность_обучения=0.6711 | ошибка_валидации=1.2706 | точность_валидации=0.6517 | precision=0.6452 | recall=0.6742 | ROC-AUC=0.7354
EfficientNetB0 | эпоха 059/400 | ошибка_обучения=0.9801 | точность_обучения=0.7105 | ошибка_валидации=1.2291 | точность_валидации=0.6461 | precision=0.6383 | recall=0.6742 | ROC-AUC=0.7346
EfficientNetB0 | эпоха 060/400 | ошибка_обучения=0.9815 | точность_обучения=0.6861 | ошибка_валидации=1.2401 | точность_валидации=0.6573 | precision=0.6556 | recall=0.6629 | ROC-AUC=0.7364
EfficientNetB0 | эпоха 061/400 | ошибка_обучения=1.0386 | точность_обучения=0.6898 | ошибка_валидации=1.2387 | точность_валидации=0.6517 | precision=0.6517 | recall=0.6517 | ROC-AUC=0.7382
EfficientNetB0 | эпоха 062/400 | ошибка_обучения=1.1284 | точность_обучения=0.7030 | ошибка_валидации=1.2236 | точность_валидации=0.6629 | precision=0.6593 | recall=0.6742 | ROC-AUC=0.7396
EfficientNetB0 | эпоха 063/400 | ошибка_обучения=1.0254 | точность_обучения=0.6729 | ошибка_валидации=1.2575 | точность_валидации=0.6404 | precision=0.6543 | recall=0.5955 | ROC-AUC=0.7317
EfficientNetB0 | эпоха 064/400 | ошибка_обучения=1.0868 | точность_обучения=0.6861 | ошибка_валидации=1.2788 | точность_валидации=0.6461 | precision=0.6512 | recall=0.6292 | ROC-AUC=0.7343
EfficientNetB0 | эпоха 065/400 | ошибка_обучения=1.1301 | точность_обучения=0.6786 | ошибка_валидации=1.1360 | точность_валидации=0.6461 | precision=0.6413 | recall=0.6629 | ROC-AUC=0.7515
EfficientNetB0 | эпоха 066/400 | ошибка_обучения=0.9339 | точность_обучения=0.7049 | ошибка_валидации=1.2041 | точность_валидации=0.6573 | precision=0.6556 | recall=0.6629 | ROC-AUC=0.7473
EfficientNetB0 | эпоха 067/400 | ошибка_обучения=0.9768 | точность_обучения=0.7068 | ошибка_валидации=1.1809 | точность_валидации=0.6236 | precision=0.6279 | recall=0.6067 | ROC-AUC=0.7485
EfficientNetB0 | эпоха 068/400 | ошибка_обучения=1.0098 | точность_обучения=0.7068 | ошибка_валидации=1.2075 | точность_валидации=0.6629 | precision=0.6667 | recall=0.6517 | ROC-AUC=0.7454
EfficientNetB0 | эпоха 069/400 | ошибка_обучения=0.9762 | точность_обучения=0.6992 | ошибка_валидации=1.1400 | точность_валидации=0.6685 | precision=0.6596 | recall=0.6966 | ROC-AUC=0.7546
EfficientNetB0 | эпоха 070/400 | ошибка_обучения=0.9212 | точность_обучения=0.7011 | ошибка_валидации=1.1250 | точность_валидации=0.6348 | precision=0.6395 | recall=0.6180 | ROC-AUC=0.7552
EfficientNetB0 | эпоха 071/400 | ошибка_обучения=1.0200 | точность_обучения=0.6823 | ошибка_валидации=1.1967 | точность_валидации=0.6629 | precision=0.6747 | recall=0.6292 | ROC-AUC=0.7433
EfficientNetB0 | эпоха 072/400 | ошибка_обучения=0.9349 | точность_обучения=0.7086 | ошибка_валидации=1.2384 | точность_валидации=0.6461 | precision=0.6548 | recall=0.6180 | ROC-AUC=0.7295
EfficientNetB0 | эпоха 073/400 | ошибка_обучения=1.0487 | точность_обучения=0.6898 | ошибка_валидации=1.1713 | точность_валидации=0.6629 | precision=0.6747 | recall=0.6292 | ROC-AUC=0.7445
EfficientNetB0 | эпоха 074/400 | ошибка_обучения=0.9436 | точность_обучения=0.7274 | ошибка_валидации=1.1748 | точность_валидации=0.6629 | precision=0.6706 | recall=0.6404 | ROC-AUC=0.7457
