Модель,Лучшая эпоха,Accuracy,Precision,Recall,F1-score,ROC-AUC,Loss,"Время, с"
ResNet101,320,0.8146067415730337,0.7692307692307693,0.898876404494382,0.8290155440414507,0.8423178891554096,0.4857594102955936,34319.40373778343
MobileNetV2,336,0.7415730337078652,0.7529411764705882,0.7191011235955056,0.735632183908046,0.80494887009216,0.7479473935084396,9259.020467996597
EfficientNetB0,328,0.6797752808988764,0.7051282051282052,0.6179775280898876,0.6586826347305389,0.7577326095190001,1.0392072382435371,9679.563868761063
